,job_title,company,experience,salary,location,description,tags_associated,function_area,posting_date,scrape_date
432,Mega BPO Hiring Voice Process For International Call Centers TECH & CS,White Horse Manpower Consultancy,0-4 Yrs,2-6 Lacs PA,"Hyderabad/Secunderabad, Pune, Bangalore/Bengaluru", We need candidates with Excellent Communication Required Experience: 1-4 Years You Must...,Customer Support,calling technical analysis comm voice voice process international comm skills,2 Days Ago,2023-03-05
433,Customer Care Executive / BPO / Call Center / Voice Process /Day Shift,Demographic Hr Services,0-5 Yrs,"50,000-3 Lacs PA","Mumbai Suburban, Pune, Mumbai (All Areas)", Customer Care Executive / BPO / Call Center / Voice Process /Day Shift International BP...,Customer Service,Customer Care Call Center cce technical support uk international customer support,27 Days Ago,2023-03-05
434,Videographer cum Video Editor,Galtech,0-2 Yrs,Not disclosed,"Kochi/Cochin, Thrissur/Trichur, Calicut/Kozhikode, Trivandrum/Thiruvananthapuram"," Able to embrace change to follow market trends. . Should be able to conduct classes, pr...",pdf,mobile applications adobe premiere pro editing videography aftereffects application digital marketing,2 Days Ago,2023-03-05
435,Video Editor,ChaloExam,0-2 Yrs,2-3 Lacs PA,Bangalore/Bengaluru," . Bachelors degree in film studies, cinematography, or related fieldHands-on experience...",video editing,editing video animation film special effects,5 Days Ago,2023-03-05
436,"Film & Broadcasting: Video Editor, Audio Engineer, Compositing, 3d Art",Aatman Innovations,2-4 Yrs,Not disclosed,Mumbai," Film & Broadcasting: Video Editor, Audio Engineer, Compositing, 3d Artists",desk,vendor access telephony support editing art vendor management helpdesk,30+ Days Ago,2023-03-05
437,Hiring For PUNE International Voice Process,Wipro,0-1 Yrs,Not disclosed,Pune, Job DescriptionWipro PUNE is Hiring for International Voice Process.ELIGIBILITY:-Freshe...,Good English Communication,customer handling uk process center international voice process communication skills outbound,9 Days Ago,2023-03-05
438,Wipro - Voice Process Pune,Wipro,0-1 Yrs,Not disclosed,Pune, Rotational Shift . . 5-days work . . Work from Office . . Drop cabs will be provided (w...,Communication Skills,Voice Process international call center calling voice customer support rotational shifts bpo voice,10 Days Ago,2023-03-05
439,English Teacher,PlanetSpark,1-6 Yrs,4-9 Lacs PA,Permanent Remote," Flexible working hours. . 2, Work from home. Excellent attention to detail, strong comm...",teaching english,English Language Training strong communication skills language training english language training ielts tesol,4 Days Ago,2023-03-05
440,"Teachers/Non Teaching/Admin/Pre Primary, & Secondary (Females only)",SRI Chaitanya Bharthi Educational Society,0-4 Yrs,"50,000-3 Lacs PA",Hyderabad/Secunderabad(Bachupally), . Primary & Pre-Primary Teachers. . Qualification : Graduation or Post Graduation with ...,pre,teaching pre primary secondary education administration,3 Days Ago,2023-03-05
441,"Teachers/Non Teaching/Admin/Pre Primary, & Secondary (Females only)",SRI Chaitanya Bharthi Educational Society,0-3 Yrs,"50,000-3 Lacs PA",Hyderabad/Secunderabad(Madinaguda)," Recruiting for our branches at Kukatpally, & Kompally Hyderabad. . . . . . Pre Primary ...",pre,teaching education pre primary administration secondary,3 Days Ago,2023-03-05
442,Teachers/Non-Teaching/Admin (Females only),SRI Chaitanya Bharthi Educational Society,0-4 Yrs,1-4.75 Lacs PA,Hyderabad/Secunderabad(Ameerpet), Recruiting for our branches at S.R Nagar Hyderabad. . . . . . Primary & Pre-Primary Tea...,education,administration teaching,3 Days Ago,2023-03-05
443,Teachers/Non-Teaching/Admin (Females only),SRI Chaitanya Bharthi Educational Society,0-3 Yrs,"50,000-3 Lacs PA",Hyderabad/Secunderabad(Pragati Nagar), Recruiting for our branches at Pragati Nagar Hyderabad. . . . . . Primary & Pre-Primary...,teaching,administration,3 Days Ago,2023-03-05
444,Principal/ Vice Principal /Teachers/Non-Teaching/Admin (Females only),SRI Chaitanya Bharthi Educational Society,0-3 Yrs,"50,000-3 Lacs PA",Hyderabad/Secunderabad(Marredpally)," Recruiting for our branches at West Marredpally, Hyderabad. . . . . . Primary & Pre-Pri...",teaching,administration education,3 Days Ago,2023-03-05
445,Hiring  Primary Teachers To teach in USA - J1 Exchange Program,Global Placements,2-7 Yrs,"40,000-55,000 PA",United States (USA)," Global Placements, a name to reckon within Teachers recruitment for various educational...",Teaching,teaching mathematics hiring mathematics usa program exchange server science teaching,8 Days Ago,2023-03-05
446,Maths Teacher - Teaching,Ajit Vidialay Sen Sec School,0-4 Yrs,Not disclosed,Amritsar, Candidate should be BED / M ED Should have ability to teach senior gradesGood Verbal Wr...,data processing,mathematics room data processor process sec teaching,30+ Days Ago,2023-03-05
447,Hindi Teacher - Teaching,Ajit Vidialay Sen Sec School,0-3 Yrs,Not disclosed,Amritsar, Candidate should be BED / M ED Should have ability to teach senior grades. . . Good Ver...,data processing,teaching room data processor process sec teaching hindi,30+ Days Ago,2023-03-05
448,Teaching Assistants in Engineering,Sree Sastha Institute of Engineering and Technology (SSIET),0-0 Yrs,1.75-2.75 Lacs PA,Chennai(Iyyappanthangal +9)," Required Teaching Assistants for all Departments, interested can forward the profiles t...",engineering,assistance tutoring teaching,3 Days Ago,2023-03-05
449,Online Tutor,Teaching Storm Online Services,0-1 Yrs,1.5-2 Lacs PA,Permanent Remote," Roles and Responsibilities : To Teach Math, Physics, Chemistry , Biology to College Lev...",Good Communication and Explanation Skills,communication skills teaching online tutoring tutoring education,12 Days Ago,2023-03-05
450,Teaching Assistant,Meghnad Desai Academy Of Economics (mdae),0-4 Yrs,Not disclosed,Mumbai," Applicants need to have knowledge of mathematical and statistical concepts, and be well...",programming,data assistance program teaching pdf economics data science,30+ Days Ago,2023-03-05
451,Teaching Assistant,Dronavyas Ixpoe Academy,0-3 Yrs,Not disclosed,Bangalore/Bengaluru, Extremely good communication skills and presentation skills,coordination,french german biology assistance teaching chemistry photoshop,30+ Days Ago,2023-03-05
452,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,2-7 Yrs,Not disclosed,Bangalore/Bengaluru," Audit question bank contents (assessments), creating / enhancing content after due rese...",JavaScript,assistance fsd mysql full stack react.js mongodb node.js,5 Days Ago,2023-03-05
453,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, Skill Sets . . Strong teaching and problem solving skills . . Proficiency on Full-Stack...,Technical Training,react.js training mysql full stack mongodb fsd node.js,3 Days Ago,2023-03-05
454,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,2-4 Yrs,Not disclosed,Bangalore/Bengaluru, Skill Sets . . Strong teaching and problem solving skills . . Proficiency on Full-Stack...,JavaScript,react.js mysql full stack mongodb fsd node.js teaching,3 Days Ago,2023-03-05
455,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,2-6 Yrs,Not disclosed,Bangalore/Bengaluru, Strong teaching and problem solving skills . . Proficiency on Full-Stack JavaScript inc...,ES2018,Full-Stack JavaScript assistance fsd mysql full stack communication skills,5 Days Ago,2023-03-05
456,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,2-5 Yrs,Not disclosed,Bangalore/Bengaluru, Skill Sets - . . Strong teaching and problem solving skills . . Proficiency on Full-Sta...,JavaScript,Node.js teaching react.js communication skills mysql full stack mongodb,5 Days Ago,2023-03-05
457,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,2-7 Yrs,Not disclosed,Bangalore/Bengaluru, Skill Sets . . Strong teaching and problem solving skills . . Proficiency on Full-Stack...,MySQL,JavaScript Teaching Assistant assistance fsd full stack react.js mongodb,5 Days Ago,2023-03-05
458,Full-Stack ( FSD) Teaching Assistant,Successr Hr Tech,2-4 Yrs,Not disclosed,Bangalore/Bengaluru, Skill Sets . . Strong teaching and problem solving skills . . Proficiency on Full-Stack...,ES2018,Full-Stack JavaScript communication skills mongodb technical full stack node.js,5 Days Ago,2023-03-05
459,Full-Stack (FSD) Teaching Assistant,Successr Hr Tech,1-3 Yrs,Not disclosed,Bangalore/Bengaluru, Skill Sets . . Strong teaching and problem solving skills . . Proficiency on Full-Stack...,Teachnical teaching assistant,ES2018 Full-Stack react.js communication skills full stack teaching mongodb,5 Days Ago,2023-03-05
460,Cabin Crew / Air Hostess (Freshers ) Leading Full Service Airline,Cita Training Academy,0-2 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Delhi / NCR", Male and Female (Freshers) . . Age 18-26 Years Should applyPerson should have unblemish...,Aviation,Delhi airport airport Fresher broking ticketing management airlines,3 Days Ago,2023-03-05
461,Airline Ticketing Executive / Travel Consultant / airport ground staff,Creative Hands HR,0-5 Yrs,4-6 Lacs PA,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", Good Communication in English,ground staff,freshers air ticket management airlines international aviation air ticketing,12 Days Ago,2023-03-05
462,Air Hostess /Cabin Crew - Leading Full Service Airline,Onboard Hrservices Llp,0-5 Yrs,2-7 Lacs PA,"Guwahati, Kolkata, Hyderabad/Secunderabad, Chennai, Jaipur, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)", Minimum Educational Qualification Completed class 12 from a recognized Board / Universi...,Cabin Crew,cabin air hostess activities customer care leadership cabin crew activities aviation ground staff activities,1 Day Ago,2023-03-05
463,Sr Travel Consultant Airline Reservations (Airline Process),Arsenius Skill Capital,2-7 Yrs,Not disclosed,Mumbai," Willing to work in US shifts 9 hours Shift 5 days working, rotational offs (IST 6:30pm ...",customer service,amadeus airline reservations airline process gd offshore process consulting,1 Day Ago,2023-03-05
464,Air Hostess /Cabin Crew - Leading Full Service Airline,Onboard Hrservices Llp,0-5 Yrs,2-7 Lacs PA,"Hyderabad/Secunderabad, Chennai, Bangalore/Bengaluru", Minimum Educational Qualification Completed class 12 from a recognized Board / Universi...,Cabin Crew,airlines customer care customer service leadership ground staff activities cabin air hostess activities,3 Days Ago,2023-03-05
465,Cabin Crew / Air Hostess For Leading Full Service Airline- Male/Female,Cita Training Academy,0-3 Yrs,"50,000-3 Lacs PA","Noida, Delhi / NCR, Mumbai (All Areas)", INTERVIEWS for a Domestic cum International Airline for a Cabin Crew Positions for Both...,cabin crew,freshers Airport communication skills calling non voice process international bpo senior,19 Days Ago,2023-03-05
466,Airline Cabin Crew Interview For Delhi Airport,Cita Training Academy,0-1 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Delhi / NCR"," Required Experience, Skills, and Qualifications:- . . . . minimumHSC / 10+2 or a Gradua...",Hotel Management,Ground Staff CSA Flight Attendant Delhi Airport jobs customer service hotel airlines,30 Days Ago,2023-03-05
467,Airport Ground Staff - Males & Females - Leading Airline,Intellecta Consultants ,0-5 Yrs,2-4.25 Lacs PA,"Chennai, Delhi / NCR, Mumbai (All Areas)", Responsible for providing effective and efficient assistance to passengers within Airpo...,Ground Staff,handling calling voice ground handling airport front center,8 Days Ago,2023-03-05
468,Airline Reservation Executive,Travelport Holidays India,2-7 Yrs,Not disclosed,Mumbai Suburban, Fulltime Air tickets reservation exec . Minimum 3 years experience in International air...,air ticketing,amadeus leisure travel airlines reservation travel leisure iata,2 Days Ago,2023-03-05
469,Cabin Crew / Air Hostess ( Only Female) Leading Full Service Airline,Intellecta Consultants ,0-5 Yrs,3.5-7 Lacs PA,"Guwahati, Shillong, Indore, Gurgaon/Gurugram, Chennai, Amritsar", Age between 18-27 for Airline freshers Height Minimum 157 cms,Cabin Crew,customer service office front office air hostess activities flight cabin crew activities aviation,4 Days Ago,2023-03-05
470,Cabin Crew / Air Hostess ( Only Female) Leading Full Service Airline,Intellecta Consultants,0-5 Yrs,3.5-7 Lacs PA,"Imphal, Bhubaneswar, Siliguri, Kohima, Aizawl, Gangtok, Shimla, Jaipur, Jammu", Age between 18-27 for Airline freshers Height Minimum 157 cms,Cabin Crew,customer service office front office air hostess activities flight cabin crew activities aviation,10 Days Ago,2023-03-05
471,Hiring Cabin Crew For Leading airlines - Delhi Airport,Cita Training Academy,0-3 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Delhi / NCR", CAREER INNOVATORS Is Hiring for Domestic cum International Airline for a Cabin Crew Pos...,delhi airport,Cabin Crew Activities reservation cabin airport leadership ground staff activities hostess activities,16 Days Ago,2023-03-05
472,Travel Sales Agents / Airline Ticketing Executive / Travel Consultant,Sharda Consultancy Services,1-6 Yrs,1-4 Lacs PA,"Noida, Gurgaon/Gurugram, Delhi / NCR(A3 Block Janakpuri +3)", Required Travel Sales agents PPC calls SALARY -30k TO 50 K including cab allowance. Fli...,Flight,Amadeus Travel Process Air Ticketing International BPO calling galileo travel,1 Day Ago,2023-03-05
473,Cabin Crew / Air Hostess ( Only Females) Leading Full Service Airline,Intellecta Consultants ,0-5 Yrs,3.5-7 Lacs PA,"Chandigarh, Dehradun, Pune, Lucknow, Ahmedabad, Delhi / NCR", Age between 18-27 for Airline freshers Height Minimum 157 cms,Cabin Crew,cabin hospitality leadership cabin crew activities flight attendant aviation hotel,8 Days Ago,2023-03-05
474,Cabin Crew / Air Hostess ( Only Females) Leading Full Service Airline,Intellecta Consultants,0-5 Yrs,3.5-7 Lacs PA,"Imphal, Kolkata, Panaji/Panjim, Hyderabad/Secunderabad, Bangalore/Bengaluru, Mumbai (All Areas)", Age between 18-27 for Airline freshers Height Minimum 157 cms,Cabin Crew,cabin air hostess activities front front office cabin crew activities hospitality flight attendant,8 Days Ago,2023-03-05
475,Air Hostess /Cabin Crew - Leading Full Service Airline,Onboard Hrservices Llp,0-5 Yrs,2-7 Lacs PA,"Chennai, Delhi / NCR, Mumbai (All Areas)", Minimum Educational Qualification Completed class 12 from a recognized Board / Universi...,Cabin Crew,cabin air hostess activities customer care leadership cabin crew activities aviation ground staff activities,15 Days Ago,2023-03-05
476,Interview For Mumbai Airport Ground Staff | Air Ticketing,Cita Training Academy,0-1 Yrs,Not disclosed,"Pune, Mumbai (All Areas), Dabolim", Interview for Air Ticketing - Customer Service Executive (Ground Staff) for Mumbai Airp...,Ground Staff Activities,Ticketing ground Staff Mumbai Airport Jobs Hotel management reservation customer service management,19 Days Ago,2023-03-05
477,Cabin Crew interviews - Dehradun || Freshers,Cita Training Academy,0-2 Yrs,Not disclosed,"Dehradun, Haldwani, Mussoorie", Hiring for Domestic cum International Airline for a Cabin Crew Positions for Both Males...,Aviation,cabin crew freshers Cabin Crew Activities events management flight attendant hospitality,3 Days Ago,2023-03-05
478,Air Hostess /Cabin Crew - Leading Full Service Airline,Onboard Hrservices Llp,0-5 Yrs,2-7 Lacs PA,"Hyderabad/Secunderabad, Ahmedabad, Chennai, Jaipur, Bangalore/Bengaluru, Delhi / NCR", Minimum Educational Qualification Completed class 12 from a recognized Board / Universi...,Cabin Crew,customer service air hostess activities cabin crew activities leadership aviation ground staff activities cabin,19 Days Ago,2023-03-05
479,Direct Cabin crew Interview For Delhi Airport,Cita Training Academy,0-2 Yrs,Not disclosed,"Noida, Gurgaon/Gurugram, Delhi / NCR", Males and Females (Freshers) . . Age 18-26 Years Should apply Only 56 Openings ( 36 Fem...,Hotel Management,cabin crew jobs Airlines travel hostess activities aviation hotel management,11 Days Ago,2023-03-05
480,Graphic Designer,Riser Techub,0-1 Yrs,1.5-3 Lacs PA,Pune," Extensive experience with Illustrator, Photoshop, Coral and In Design, specifically wit...",graphic designing,photoshop illustrator design graphics,5 Days Ago,2023-03-05
481,Graphic Designer,Friends Steel Group,0-5 Yrs,Not disclosed,Ahmedabad(Prahlad Nagar), Graphic Designer & Video Editor (Female candidate preffered)Roles and Responsibilities ...,Video Editing,graphic designing maya graphics photoshop video indesign adobe,1 Day Ago,2023-03-05
482,Graphic Designer And Visualizer,Spun Digital And Marketing,0-2 Yrs,Not disclosed,Dehradun," Required Experience, Skills and Qualifications: . Must be self-motivated independent in...",Premiere Pro,design photoshop graphic designing editing graphics video visualiser,1 Day Ago,2023-03-05
483,Graphic Designer,Alfa Kpo,0-1 Yrs,1.75-2.5 Lacs PA,Mumbai (All Areas)(Shanti Nagar Borivali), Shift - Day Shift Timing - 11am- 8pm Qualification - Graduates / Diploma Proficient in ...,Logo Design,Adobe Creative Suite illustrator adobe typography video video editing creative,1 Day Ago,2023-03-05
484,Graphic Designer,Content Inception Llp,0-2 Yrs,1-2 Lacs PA,Permanent Remote, Graphic Designer (Full Time) - Freshers 0-2 Year (Remote Work) For Hiring reference onl...,Photoshop,illustrator aftereffects adobe after effects design adobe creative suite graphics graphic designing,1 Day Ago,2023-03-05
485,Graphic Designer,Skill 2 Source Consulting Llp,0-2 Yrs,1-3 Lacs PA,Agra, Education : Bachelors or Masters degree in relevant disciplineExperience : 1 to 3 years...,Illustrator,photoshop Graphic Designing graphics draw corel design corel draw,1 Day Ago,2023-03-05
486,Graphics Designer  Freshers,Vatsal Technosoft,0-1 Yrs,Not disclosed,"Kolkata, Mumbai, Indore, Pune, Ahmedabad, Surat, Bangalore/Bengaluru, Vadodara"," Highly proficient in all design aspects . . . . Professionalism regarding time, costs a...",draw,corel corel draw basic photoshop graphics design corporate,3 Days Ago,2023-03-05
487,Graphic Designer,Capleo Global Solutions,0-5 Yrs,Not disclosed,Permanent Remote, Roles and Responsibilities We are looking for Graphic Designer who have good knowledge ...,graphic designing,Photoshop Adobe graphics design,4 Days Ago,2023-03-05
488,Graphic Designer,Isha Foundation,0-3 Yrs,Not disclosed,New Delhi, Proven graphic designing experience,graphics,photoshop creative direct isis software graphic designing conceptualization,8 Days Ago,2023-03-05
489,Graphics Designer,Sodhani Infotech,0-2 Yrs,Not disclosed,Mumbai, Collaborating with clients or team members to determine design requirements and project...,design,graphics graphic designing,8 Days Ago,2023-03-05
490,Graphic designer & video editor,Larsen & Toubro (L&T),2-4 Yrs,Not disclosed,Mumbai (All Areas)," Collaborate with marketing and business teams to produce sales enablement materials, cr...",graphic designing,adobe after effects Visual Design editing dreamweaver aftereffects adobe premiere pro,1 Day Ago,2023-03-05
491,Graphic Designer,Birla Open Minds Education,2-4 Yrs,1.25-3 Lacs PA,Mumbai (All Areas)," . Bachelors, diploma or certification in graphic design or photo editingDesigns for kit...",Graphic Designing,graphics photoshop draw corel design illustrator corel draw,1 Day Ago,2023-03-05
492,Graphic Designer,Riveyra Infotech,2-5 Yrs,Not disclosed,Kanpur, Proven graphic designing experience . . A strong portfolio of illustrations or other gr...,graphic designing,fine arts packaging photoshop software design software art graphics,1 Day Ago,2023-03-05
493,Graphic Designer,Ideabrew Studios,0-1 Yrs,Not disclosed,Mumbai, We are looking for a creative and adventurous designer to support the content and marke...,editing,graphic designing media printing video editing photoshop basic video,5 Days Ago,2023-03-05
494,Graphic Designer,Stefab,0-3 Yrs,Not disclosed,New Delhi, Planning concepts by studying relevant information and materials. Illustrating concepts...,graphics,program art graphic designing design fine arts programming,5 Days Ago,2023-03-05
495,Graphic Designer,Design Accent,0-2 Yrs,Not disclosed,Mumbai Suburban, Roles and Responsibilities Should be well versed with CorelDraw and PhotoshopDesired Ca...,Corel Draw,photoshop graphics draw corel graphic designing design illustrator,5 Days Ago,2023-03-05
496,Graphic Designer,M G  Bakers Pvt.ltd.,0-5 Yrs,Not disclosed,Mohali, Bachelors degree in Graphic Design or related field Proficient in Adobe Creative Suite ...,coordination,typography creative graphics graphic designing design creative designing creative skills,5 Days Ago,2023-03-05
497,Graphic Designer,Turbolab,0-1 Yrs,1.75-3 Lacs PA,Kochi/Cochin, Are good at creating technical graphic content for visually sophisticated audiences. . ...,Motion Graphics,Adobe Creative Suite photoshop typography layout illustrator infographics illustration,2 Days Ago,2023-03-05
498,Graphic Designer,Moshi Moshi,0-3 Yrs,Not disclosed,Delhi / NCR," - Create graphics, effects, or animations using computer programs and editing software....",Creative,animations Graphic Designing graphics animation design Graphic Designer,3 Days Ago,2023-03-05
499,Graphic Designer,Techxr Innovations,0-1 Yrs,Not disclosed,Bhopal, Bachelors degree in Graphic Design or a related field. . 6 months to 1 year of experien...,Photoshop,Graphic Designing illustrator graphics logo 2d brochure design draw,3 Days Ago,2023-03-05
500,Export / Shipping Executive,Pamaa International,2-5 Yrs,Not disclosed,Mumbai, . Qualification : Any Graduate 10) The Candidate Should Know C.B.M 11) The Candidate Sh...,Export Documentation,Export Executive Export House shipping export documentation garments Shipping Executive,1 Day Ago,2023-03-05
501,Shipping & Clearing Executive,Bhartia Management Consultancy (BMC),5-10 Yrs,10-15 Lacs PA,Nigeria, To clear the discharge of bulk cargos / container cargos in coordination with the shipp...,Documentation,chartering operations container bulk port port operations cargo handling,12 Days Ago,2023-03-05
502,"Documentation Executive / Manager, Shipping Executive / Manager",SA Import  Export Delhi,0-5 Yrs,7-17 Lacs PA,"Temp. WFH - Jaipur, Delhi / NCR, Mumbai (All Areas)", Good communication skills both written and verbal,Documentation Skills,Shipping Marine Operations Documentation Tools Documentation documents ipqa deviation,25 Days Ago,2023-03-05
503,Exports Logistics / Shipping Manager,Kishor Exports,2-7 Yrs,3-8 Lacs PA,Agra, The candidate with relevant work experience in International Trading Houses/ Exports Ma...,Export,Shipping Logistics management shipment duty drawback trade export logistics,14 Days Ago,2023-03-05
504,Logistics Executive- Shipping,Osprosys Software,3-6 Yrs,Not disclosed,Bangalore/Bengaluru, Min 3 years’ experience in LCL cargo operations in freight forwarding office English sp...,Freight Forwarding,LCL Logistics shipping import forwarding fcl export import,4 Days Ago,2023-03-05
505,Shipping Executive,7 Consultancy,0-4 Yrs,Not disclosed,Bengaluru, Should be flexible in shift working Must be a Graduate / ITI Should be hard working and...,excel,shipping Executive Supervisor Shipping Executive,30+ Days Ago,2023-03-05
506,Shipping Executive,Auchtel Products,2-7 Yrs,Not disclosed,Mumbai, Bachelor?s Degree with Diploma in Export / Imports Management. Hands on experience of h...,shipping,export management import management import Imports Management Shipping Executive,30+ Days Ago,2023-03-05
507,Shipping Manager,Atlas Copco,5-7 Yrs,Not disclosed,Pune," A graduate degree from a recognized UniversityDemonstrated analytical, problem solving ...",sap,microsoft customer service management claims logistics shipping operations shipping,30+ Days Ago,2023-03-05
508,Shipping Manager,Atlas Copco,5-7 Yrs,Not disclosed,Pune, Indian Service Center (ISC) is looking for a dynamic people manager who aims to maximis...,management,shipping microsoft erp logistics analytics operations shipping operations,30+ Days Ago,2023-03-05
509,Functional Executive (Shipping Domain),Logitrans Technology Private Ltd.,2-3 Yrs,Not disclosed,Chennai(Perungalathur), Stream1 : Good exposure & knowledge in Shipping domain / Logistics / Liner practices . ...,Export Documentation,Bill Of Lading Import Documentation Shipping Operations Shipping Documentation nvocc customer support port,30+ Days Ago,2023-03-05
510,Logistics Manager - International Shipping,RK Hr Management,7-10 Yrs,4-5.5 Lacs PA,Ahmedabad, Coordinating with CHA Responsible for planning & tracking the shipments. Loading and un...,Sea Freight,Freight Forwarding transporter coordination International Freight Forwarding Logistics operations bulk planning,3 Days Ago,2023-03-05
511,"Logistics Manager- 12-15 yrs, Shipping Logistics, Navi Mumbai",Breter Managings,12-15 Yrs,10-15 Lacs PA,Navi Mumbai," budgets and expenditures Bachelor s degree in business administration, logistics, suppl...",Auto components,Logictics Shipping Operations automobile components shipping auto logistics management operations,4 Days Ago,2023-03-05
512,Shipping - Manager/D.Y Manager || Navi Mumbai,African Industries,5-10 Yrs,Not disclosed,"Navi Mumbai, Mumbai (All Areas)(Sector-17 Sanpada)", The ideal candidate should have at least 5+ years experience as a freight forwarder/ co...,Freight Forwarding,cargo shipping line shipment management shipping freight line,25 Days Ago,2023-03-05
513,Shipping Executive,7 Consultancy,1-4 Yrs,Not disclosed,Delhi, 1 Negotiate rates with Shipping Lines Overseas Partners 2 Coordination with Sales team ...,shipping,servicing management operations mis consultancy sales operations dso,30+ Days Ago,2023-03-05
514,Branch Manager : Shipping n Logistics,Talent  Corner HR Services Pvt Ltd,4-8 Yrs,6-7 Lacs PA,Chennai," Candidate should have an experience of handling the sales activities, logistics operati...",freight,logistics operations management logistics customs branch operations sales sales activities,9 Days Ago,2023-03-05
515,Branch Manager - Shipping n Logistics,Talent  Corner HR Services Pvt Ltd,4-9 Yrs,6-7 Lacs PA,"New Delhi, Bangalore/Bengaluru"," Candidate should have an experience of handling the sales activities, logistics operati...",shipment,administration clearing management branch management shipping customs freight,9 Days Ago,2023-03-05
516,Shipping Logistics Manager,Talent One Hr Consulting Llp,4-9 Yrs,9-12 Lacs PA,Mumbai (All Areas)," Location – Andheri West , Mumbai Shift – US Shift (Night 5.30 PM – 4 AM) Shipping Logis...",Shipping Logistics,management shipping line line logistics shipping operations logistics management operations,12 Days Ago,2023-03-05
517,Trainee Seaman and Deck Cadet-Container Ship,Ocean Star Ships,0-2 Yrs,Not disclosed,Panchkula, Urgently required Trainee Seaman and Deck Cadet for Container Ship GRT- 14000 Salary- $...,training,Trainee Seaman and Deck Cadet-Container Ship,30+ Days Ago,2023-03-05
518,Jr. Ship Broker / Ship Operation Executive ( Post Fixtures),Nash Shipping,0-3 Yrs,Not disclosed,Mumbai (All Areas), Desired Candidate Profile . . . . Good communication skill with good command over writt...,shipping,ocean gauges fixtures jrss voyager post documentation,8 Days Ago,2023-03-05
519,Shipping co-ordinator,Instatalent Recruit Llp,10-12 Yrs,Not disclosed,Mumbai," Minimum 10-12 years in Customs BrokerageGraduate, G card holderDaily tracking of consig...",export import,auditing indenting shipping freight finished products forwarding freight forwarding,30+ Days Ago,2023-03-05
